date,order_id,region,category,product,quantity,revenue,cost,margin
2024-01-03,ORD-20240103-7577,Durban,Electronics,Headphones,2,36878.43,21013.38,15865.05
2024-01-03,ORD-20240103-4229,Cape Town,Electronics,Laptop,3,55541.94,40300.46,15241.48
2024-01-03,ORD-20240103-4088,Durban,Fashion,Sneakers,5,6247.9,4354.38,1893.52
2024-01-03,ORD-20240103-5438,Johannesburg,Electronics,Laptop,1,8952.81,6675.43,2277.38
2024-01-03,ORD-20240103-4211,Cape Town,Fashion,Jeans,4,1351.38,857.96,493.42
2024-01-03,ORD-20240103-9626,Pretoria,Electronics,Laptop,4,65937.46,35850.45,30087.01
2024-01-03,ORD-20240103-4968,Cape Town,Fashion,Jeans,2,2151.67,1316.76,834.91
2024-01-04,ORD-20240104-1496,Johannesburg,Electronics,Phone,2,25905.41,14534.3,11371.11
2024-01-04,ORD-20240104-9446,Durban,Groceries,Coffee,4,736.58,497.07,239.51
2024-01-04,ORD-20240104-2065,Cape Town,Home,Chair,5,29705.94,22664.43,7041.51
2024-01-04,ORD-20240104-7158,Cape Town,Electronics,Phone,3,27270.5,18810.09,8460.41
2024-01-04,ORD-20240104-3640,Johannesburg,Groceries,Eggs,5,288.81,227.7,61.11
2024-01-04,ORD-20240104-7951,Cape Town,Groceries,Eggs,3,137.77,73.27,64.5
2024-01-04,ORD-20240104-6681,Cape Town,Fashion,T-shirt,5,1366.85,732.07,634.78
2024-01-04,ORD-20240104-8843,Pretoria,Fashion,Sneakers,3,5396.01,3328.44,2067.57
2024-01-04,ORD-20240104-2400,Pretoria,Fashion,T-shirt,2,3164.46,1685.99,1478.47
2024-01-04,ORD-20240104-1090,Johannesburg,Home,Chair,5,14579.51,9044.79,5534.72
2024-01-05,ORD-20240105-9826,Johannesburg,Groceries,Eggs,1,168.53,118.86,49.67
2024-01-05,ORD-20240105-2014,Durban,Groceries,Coffee,1,208.75,114.75,94.0
2024-01-05,ORD-20240105-3058,Johannesburg,Home,Chair,4,21838.39,15827.85,6010.54
2024-01-05,ORD-20240105-6806,Durban,Groceries,Bread,1,143.66,74.47,69.19
2024-01-05,ORD-20240105-8937,Cape Town,Groceries,Milk,5,1301.05,825.27,475.78
2024-01-06,ORD-20240106-1628,Johannesburg,Electronics,Headphones,4,58881.62,47036.44,11845.18
2024-01-06,ORD-20240106-1248,Pretoria,Home,Lamp,2,4931.92,2972.66,1959.26
2024-01-06,ORD-20240106-2245,Pretoria,Electronics,Headphones,4,79045.72,56829.35,22216.37
2024-01-06,ORD-20240106-5216,Pretoria,Home,Chair,3,18638.52,9446.73,9191.79
2024-01-06,ORD-20240106-2217,Cape Town,Electronics,Laptop,5,40119.75,30381.99,9737.76
2024-01-06,ORD-20240106-4127,Johannesburg,Groceries,Eggs,1,245.55,177.24,68.31
2024-01-06,ORD-20240106-6842,Johannesburg,Fashion,Jacket,3,3617.63,2802.07,815.56
2024-01-07,ORD-20240107-5050,Johannesburg,Groceries,Eggs,2,291.15,164.87,126.28
2024-01-07,ORD-20240107-8509,Durban,Home,Lamp,1,6632.08,4056.07,2576.01
2024-01-07,ORD-20240107-1839,Cape Town,Home,Chair,4,4257.31,2953.88,1303.43
2024-01-07,ORD-20240107-4264,Johannesburg,Electronics,Headphones,1,2051.07,1588.02,463.05
2024-01-07,ORD-20240107-9985,Johannesburg,Groceries,Coffee,3,685.51,409.66,275.85
2024-01-07,ORD-20240107-4124,Cape Town,Groceries,Bread,1,212.14,150.53,61.61
2024-01-08,ORD-20240108-6939,Johannesburg,Groceries,Milk,4,308.76,177.89,130.87
2024-01-08,ORD-20240108-9968,Johannesburg,Fashion,T-shirt,4,4401.64,2881.47,1520.17
2024-01-08,ORD-20240108-7990,Durban,Groceries,Milk,3,589.32,354.33,234.99
2024-01-08,ORD-20240108-1050,Durban,Home,Table,2,13980.83,9039.12,4941.71
2024-01-08,ORD-20240108-1388,Durban,Fashion,T-shirt,2,2969.15,1521.78,1447.37
2024-01-08,ORD-20240108-7803,Durban,Home,Table,4,5155.76,3200.7,1955.06
2024-01-08,ORD-20240108-6482,Durban,Electronics,Headphones,2,37179.09,21293.19,15885.9
2024-01-09,ORD-20240109-8207,Durban,Groceries,Eggs,5,1490.86,964.07,526.79
2024-01-09,ORD-20240109-4102,Johannesburg,Groceries,Coffee,2,473.57,238.98,234.59
2024-01-09,ORD-20240109-1815,Durban,Groceries,Milk,5,1408.38,1034.88,373.5
2024-01-09,ORD-20240109-4193,Pretoria,Groceries,Bread,4,195.77,136.58,59.19
2024-01-09,ORD-20240109-5255,Johannesburg,Electronics,Headphones,1,2967.8,2111.11,856.69
2024-01-09,ORD-20240109-4429,Johannesburg,Groceries,Bread,2,533.54,287.82,245.72
2024-01-09,ORD-20240109-6278,Pretoria,Groceries,Eggs,1,263.98,187.36,76.62
2024-01-09,ORD-20240109-2270,Cape Town,Groceries,Eggs,1,187.76,100.64,87.12
2024-01-09,ORD-20240109-7461,Pretoria,Electronics,Laptop,5,25588.22,14053.31,11534.91
2024-01-10,ORD-20240110-3964,Cape Town,Groceries,Milk,1,43.5,28.9,14.6
2024-01-10,ORD-20240110-4878,Pretoria,Groceries,Eggs,3,500.79,367.56,133.23
2024-01-10,ORD-20240110-5730,Johannesburg,Groceries,Eggs,1,83.26,62.36,20.9
2024-01-10,ORD-20240110-2880,Cape Town,Fashion,Sneakers,2,2689.31,2135.86,553.45
2024-01-10,ORD-20240110-4146,Pretoria,Electronics,Phone,1,14404.14,10686.05,3718.09
2024-01-10,ORD-20240110-2623,Pretoria,Fashion,T-shirt,4,3497.41,1749.43,1747.98
2024-01-10,ORD-20240110-8741,Johannesburg,Electronics,Phone,1,16163.7,9280.52,6883.18
2024-01-11,ORD-20240111-8890,Johannesburg,Home,Chair,1,776.89,515.0,261.89
2024-01-11,ORD-20240111-7995,Durban,Groceries,Coffee,4,180.92,126.05,54.87
2024-01-11,ORD-20240111-4994,Pretoria,Electronics,Laptop,1,8292.7,6425.56,1867.14
2024-01-11,ORD-20240111-9022,Pretoria,Home,Lamp,5,19671.62,11209.82,8461.8
2024-01-11,ORD-20240111-2630,Cape Town,Groceries,Milk,3,344.52,178.38,166.14
2024-01-11,ORD-20240111-1316,Johannesburg,Home,Table,5,7028.27,3848.66,3179.61
2024-01-11,ORD-20240111-1781,Johannesburg,Home,Table,5,38755.46,23712.62,15042.84
2024-01-11,ORD-20240111-5427,Durban,Electronics,Headphones,1,18793.28,12398.72,6394.56
2024-01-11,ORD-20240111-4751,Durban,Electronics,Smartwatch,1,13967.86,9057.66,4910.2
2024-01-12,ORD-20240112-4518,Durban,Groceries,Milk,4,984.06,753.58,230.48
2024-01-12,ORD-20240112-8706,Durban,Electronics,Smartwatch,2,27759.69,20658.95,7100.74
2024-01-12,ORD-20240112-7880,Pretoria,Home,Lamp,4,22076.37,16644.73,5431.64
2024-01-12,ORD-20240112-2676,Durban,Electronics,Phone,3,23116.41,14967.6,8148.81
2024-01-12,ORD-20240112-4163,Johannesburg,Groceries,Coffee,4,607.72,430.74,176.98
2024-01-12,ORD-20240112-3324,Cape Town,Home,Lamp,5,33032.65,22544.98,10487.67
2024-01-12,ORD-20240112-7448,Pretoria,Electronics,Phone,2,28485.32,17411.69,11073.63
2024-01-12,ORD-20240112-3433,Cape Town,Groceries,Milk,2,170.99,88.84,82.15
2024-01-13,ORD-20240113-7822,Durban,Fashion,Jacket,4,5198.46,3085.15,2113.31
2024-01-13,ORD-20240113-5305,Durban,Home,Table,1,2960.41,2223.25,737.16
2024-01-13,ORD-20240113-1557,Pretoria,Home,Table,4,24768.37,16433.12,8335.25
2024-01-13,ORD-20240113-2149,Durban,Groceries,Bread,2,185.8,93.09,92.71
2024-01-13,ORD-20240113-6425,Johannesburg,Electronics,Phone,5,80484.11,57026.07,23458.04
2024-01-13,ORD-20240113-4156,Cape Town,Electronics,Smartwatch,2,21431.01,10904.53,10526.48
2024-01-14,ORD-20240114-8216,Durban,Home,Chair,5,13554.39,9809.81,3744.58
2024-01-14,ORD-20240114-2967,Durban,Fashion,Jeans,4,4305.71,2942.84,1362.87
2024-01-14,ORD-20240114-5069,Pretoria,Electronics,Headphones,4,73433.22,43470.89,29962.33
2024-01-14,ORD-20240114-1478,Cape Town,Electronics,Phone,4,54343.05,35448.38,18894.67
2024-01-14,ORD-20240114-9314,Durban,Home,Chair,2,4549.68,3192.78,1356.9
2024-01-14,ORD-20240114-8037,Pretoria,Home,Table,4,5459.04,3252.54,2206.5
2024-01-14,ORD-20240114-4575,Durban,Fashion,Jeans,1,566.08,296.81,269.27
2024-01-14,ORD-20240114-9367,Pretoria,Home,Lamp,1,2895.95,2277.1,618.85
2024-01-14,ORD-20240114-5713,Cape Town,Fashion,Jeans,1,269.94,215.16,54.78
2024-01-14,ORD-20240114-2819,Pretoria,Electronics,Phone,1,13061.74,10275.04,2786.7
2024-01-14,ORD-20240114-6248,Johannesburg,Fashion,T-shirt,2,2836.46,1433.6,1402.86
2024-01-15,ORD-20240115-5157,Pretoria,Fashion,T-shirt,2,3567.87,2109.09,1458.78
2024-01-15,ORD-20240115-8654,Johannesburg,Fashion,Jeans,5,4625.83,2853.64,1772.19
2024-01-15,ORD-20240115-2393,Durban,Groceries,Eggs,5,1060.58,649.17,411.41
2024-01-15,ORD-20240115-2330,Durban,Electronics,Headphones,2,32430.82,23241.84,9188.98
2024-01-15,ORD-20240115-2756,Cape Town,Electronics,Laptop,5,90387.05,61474.68,28912.37
2024-01-15,ORD-20240115-9116,Pretoria,Electronics,Smartwatch,1,19949.76,10002.1,9947.66
2024-01-15,ORD-20240115-3579,Johannesburg,Electronics,Laptop,5,9345.14,6684.44,2660.7
2024-01-15,ORD-20240115-6400,Durban,Fashion,T-shirt,2,2007.87,1496.84,511.03
2024-01-15,ORD-20240115-1385,Durban,Fashion,Sneakers,3,1471.29,791.55,679.74
2024-01-15,ORD-20240115-2839,Pretoria,Home,Lamp,2,7830.86,4195.13,3635.73
2024-01-16,ORD-20240116-2063,Durban,Fashion,Jeans,1,1133.98,616.11,517.87
2024-01-16,ORD-20240116-8243,Durban,Fashion,T-shirt,3,3801.17,2090.2,1710.97
2024-01-16,ORD-20240116-8998,Durban,Groceries,Coffee,2,148.23,80.66,67.57
2024-01-16,ORD-20240116-3860,Durban,Electronics,Headphones,2,18244.08,12103.48,6140.6
2024-01-16,ORD-20240116-8822,Cape Town,Home,Chair,3,16918.84,9579.94,7338.9
2024-01-16,ORD-20240116-8189,Johannesburg,Home,Chair,2,10233.16,7644.1,2589.06
2024-01-16,ORD-20240116-7569,Durban,Home,Lamp,3,10536.62,8336.57,2200.05
2024-01-16,ORD-20240116-8673,Durban,Groceries,Bread,3,779.05,438.47,340.58
2024-01-17,ORD-20240117-4069,Durban,Electronics,Laptop,2,25307.14,12944.67,12362.47
2024-01-17,ORD-20240117-3999,Johannesburg,Home,Table,5,24099.16,12672.82,11426.34
2024-01-17,ORD-20240117-1092,Pretoria,Home,Table,4,8245.05,6406.72,1838.33
2024-01-17,ORD-20240117-3051,Pretoria,Electronics,Smartwatch,5,19654.01,9833.44,9820.57
2024-01-17,ORD-20240117-5403,Pretoria,Home,Chair,2,4355.04,2909.56,1445.48
2024-01-18,ORD-20240118-5480,Johannesburg,Fashion,Jacket,3,622.6,374.02,248.58
2024-01-18,ORD-20240118-6994,Durban,Fashion,Jeans,5,7773.17,4450.61,3322.56
2024-01-18,ORD-20240118-2273,Cape Town,Electronics,Phone,4,72731.3,51040.7,21690.6
2024-01-18,ORD-20240118-5447,Durban,Fashion,Sneakers,4,5124.67,3821.84,1302.83
2024-01-18,ORD-20240118-7142,Cape Town,Home,Table,2,7043.97,4467.86,2576.11
2024-01-19,ORD-20240119-1954,Johannesburg,Home,Chair,3,5689.76,3095.93,2593.83
2024-01-19,ORD-20240119-1128,Cape Town,Home,Lamp,1,5231.36,3492.27,1739.09
2024-01-19,ORD-20240119-2631,Pretoria,Groceries,Bread,3,435.32,219.99,215.33
2024-01-19,ORD-20240119-4402,Pretoria,Electronics,Laptop,3,32800.69,19572.55,13228.14
2024-01-19,ORD-20240119-1505,Durban,Home,Table,3,19337.02,13021.85,6315.17
2024-01-19,ORD-20240119-6720,Johannesburg,Home,Chair,2,10781.75,8208.26,2573.49
2024-01-19,ORD-20240119-1530,Cape Town,Groceries,Eggs,4,225.17,133.79,91.38
2024-01-19,ORD-20240119-8699,Johannesburg,Groceries,Milk,5,883.93,678.53,205.4
2024-01-19,ORD-20240119-8334,Cape Town,Groceries,Eggs,5,475.43,371.53,103.9
2024-01-19,ORD-20240119-4512,Durban,Electronics,Headphones,4,43756.15,29858.57,13897.58
2024-01-19,ORD-20240119-8485,Cape Town,Fashion,Jeans,5,5629.19,2904.26,2724.93
2024-01-20,ORD-20240120-1146,Durban,Electronics,Smartwatch,2,39487.04,24422.99,15064.05
2024-01-20,ORD-20240120-1593,Durban,Home,Chair,4,20135.16,10590.85,9544.31
2024-01-20,ORD-20240120-5345,Cape Town,Electronics,Laptop,2,11592.18,5952.35,5639.83
2024-01-20,ORD-20240120-6268,Durban,Electronics,Phone,2,39910.74,26447.96,13462.78
2024-01-20,ORD-20240120-6317,Durban,Fashion,Jeans,3,1429.95,854.41,575.54
2024-01-20,ORD-20240120-5464,Pretoria,Electronics,Smartwatch,4,16653.5,11783.63,4869.87
2024-01-20,ORD-20240120-3210,Johannesburg,Groceries,Eggs,4,1166.49,912.1,254.39
2024-01-20,ORD-20240120-3058,Durban,Electronics,Laptop,2,10752.81,6057.49,4695.32
2024-01-20,ORD-20240120-7071,Cape Town,Fashion,Jeans,4,1585.93,1253.12,332.81
2024-01-20,ORD-20240120-7332,Pretoria,Groceries,Bread,3,217.97,123.31,94.66
2024-01-21,ORD-20240121-2705,Johannesburg,Home,Sofa,1,6503.65,5025.43,1478.22
2024-01-21,ORD-20240121-8504,Pretoria,Groceries,Coffee,2,130.49,95.67,34.82
2024-01-21,ORD-20240121-2315,Pretoria,Groceries,Milk,4,905.64,474.84,430.8
2024-01-21,ORD-20240121-2826,Pretoria,Home,Table,2,14763.4,7693.62,7069.78
2024-01-21,ORD-20240121-5464,Johannesburg,Home,Sofa,5,24220.81,17250.16,6970.65
2024-01-21,ORD-20240121-8357,Cape Town,Home,Chair,3,19514.53,13245.77,6268.76
2024-01-21,ORD-20240121-7120,Pretoria,Fashion,Jacket,4,730.56,462.05,268.51
2024-01-22,ORD-20240122-5630,Cape Town,Home,Lamp,2,5061.49,2654.64,2406.85
2024-01-22,ORD-20240122-6160,Cape Town,Home,Lamp,1,5439.84,3993.5,1446.34
2024-01-22,ORD-20240122-8502,Cape Town,Fashion,Sneakers,5,4093.62,2939.92,1153.7
2024-01-22,ORD-20240122-8860,Johannesburg,Home,Chair,4,30214.26,18087.75,12126.51
2024-01-22,ORD-20240122-9766,Durban,Groceries,Milk,3,224.07,112.67,111.4
2024-01-23,ORD-20240123-4459,Cape Town,Fashion,Sneakers,5,6224.2,4018.2,2206.0
2024-01-23,ORD-20240123-9443,Durban,Groceries,Coffee,4,1014.14,591.23,422.91
2024-01-23,ORD-20240123-3935,Durban,Electronics,Phone,4,29732.74,22187.82,7544.92
2024-01-23,ORD-20240123-8893,Cape Town,Groceries,Coffee,3,639.48,435.9,203.58
2024-01-23,ORD-20240123-6004,Cape Town,Groceries,Bread,3,743.72,387.15,356.57
2024-01-23,ORD-20240123-3312,Durban,Groceries,Milk,4,1054.52,788.47,266.05
2024-01-23,ORD-20240123-1014,Cape Town,Groceries,Eggs,2,159.83,97.12,62.71
2024-01-23,ORD-20240123-9289,Pretoria,Home,Lamp,5,22161.47,14627.81,7533.66
2024-01-23,ORD-20240123-4206,Johannesburg,Home,Chair,4,17842.77,11446.24,6396.53
2024-01-23,ORD-20240123-2823,Johannesburg,Groceries,Bread,3,231.15,155.12,76.03
2024-01-24,ORD-20240124-5270,Cape Town,Groceries,Bread,5,1076.41,686.83,389.58
2024-01-24,ORD-20240124-6489,Durban,Fashion,T-shirt,2,3559.47,2197.97,1361.5
2024-01-24,ORD-20240124-1417,Johannesburg,Groceries,Eggs,5,1352.37,1063.62,288.75
2024-01-24,ORD-20240124-8233,Cape Town,Groceries,Bread,2,488.52,346.65,141.87
2024-01-24,ORD-20240124-2348,Johannesburg,Electronics,Headphones,1,18816.29,11384.22,7432.07
2024-01-24,ORD-20240124-9629,Durban,Groceries,Coffee,4,289.8,210.52,79.28
2024-01-24,ORD-20240124-9672,Pretoria,Electronics,Laptop,4,46280.91,36679.87,9601.04
2024-01-24,ORD-20240124-2650,Cape Town,Groceries,Bread,3,477.32,259.84,217.48
2024-01-25,ORD-20240125-3225,Durban,Fashion,Sneakers,4,4533.67,3479.5,1054.17
2024-01-25,ORD-20240125-6288,Pretoria,Fashion,T-shirt,3,3963.92,2071.2,1892.72
2024-01-25,ORD-20240125-7788,Cape Town,Home,Table,2,2294.32,1723.73,570.59
2024-01-25,ORD-20240125-7166,Pretoria,Electronics,Smartwatch,5,58511.79,37601.11,20910.68
2024-01-25,ORD-20240125-2162,Johannesburg,Home,Lamp,4,28287.72,19196.36,9091.36
2024-01-25,ORD-20240125-8397,Johannesburg,Groceries,Bread,2,204.99,139.01,65.98
2024-01-25,ORD-20240125-3918,Durban,Home,Sofa,1,2911.15,1827.5,1083.65
2024-01-25,ORD-20240125-5109,Durban,Home,Table,2,6181.76,4401.83,1779.93
2024-01-25,ORD-20240125-8604,Cape Town,Groceries,Milk,2,208.8,111.58,97.22
2024-01-25,ORD-20240125-8896,Cape Town,Groceries,Eggs,3,630.84,482.94,147.9
2024-01-26,ORD-20240126-3841,Cape Town,Electronics,Smartwatch,1,6947.72,4607.08,2340.64
2024-01-26,ORD-20240126-3860,Cape Town,Groceries,Coffee,3,323.2,165.44,157.76
2024-01-26,ORD-20240126-8538,Cape Town,Groceries,Bread,5,1399.52,893.76,505.76
2024-01-26,ORD-20240126-7555,Pretoria,Electronics,Laptop,2,19892.3,15817.44,4074.86
2024-01-26,ORD-20240126-3618,Johannesburg,Fashion,Jeans,5,8044.75,6248.72,1796.03
2024-01-26,ORD-20240126-2914,Pretoria,Electronics,Phone,2,11081.18,8039.07,3042.11
2024-01-26,ORD-20240126-5212,Durban,Fashion,Sneakers,1,1675.63,958.15,717.48
2024-01-26,ORD-20240126-8054,Pretoria,Fashion,T-shirt,5,6469.66,3816.73,2652.93
2024-01-26,ORD-20240126-5829,Durban,Electronics,Headphones,1,5905.28,3287.86,2617.42
2024-01-26,ORD-20240126-6500,Johannesburg,Electronics,Headphones,3,22537.47,11732.98,10804.49
2024-01-26,ORD-20240126-5090,Cape Town,Groceries,Milk,2,480.82,340.77,140.05
2024-01-27,ORD-20240127-9598,Pretoria,Home,Lamp,4,15134.27,10641.41,4492.86
2024-01-27,ORD-20240127-8560,Cape Town,Electronics,Laptop,3,29876.71,20491.32,9385.39
2024-01-27,ORD-20240127-2799,Durban,Home,Table,1,5406.57,3537.51,1869.06
2024-01-27,ORD-20240127-2068,Johannesburg,Home,Sofa,5,7248.51,3642.07,3606.44
2024-01-27,ORD-20240127-2073,Cape Town,Home,Lamp,1,5297.2,3629.49,1667.71
2024-01-27,ORD-20240127-5959,Johannesburg,Electronics,Laptop,2,16488.23,10377.03,6111.2
2024-01-27,ORD-20240127-1817,Pretoria,Home,Table,1,840.03,591.91,248.12
2024-01-27,ORD-20240127-9555,Cape Town,Electronics,Headphones,5,70653.4,53432.11,17221.29
2024-01-27,ORD-20240127-3602,Durban,Groceries,Milk,2,165.11,89.99,75.12
2024-01-27,ORD-20240127-2075,Durban,Electronics,Smartwatch,5,59682.92,39913.02,19769.9
2024-01-28,ORD-20240128-7323,Johannesburg,Home,Chair,3,7509.67,5137.34,2372.33
2024-01-28,ORD-20240128-7260,Pretoria,Electronics,Headphones,5,20047.99,15823.86,4224.13
2024-01-28,ORD-20240128-4254,Pretoria,Fashion,Jacket,5,4169.07,2471.36,1697.71
2024-01-28,ORD-20240128-5198,Johannesburg,Groceries,Coffee,3,261.32,152.56,108.76
2024-01-28,ORD-20240128-8628,Cape Town,Home,Lamp,1,4379.62,2409.85,1969.77
2024-01-28,ORD-20240128-6882,Johannesburg,Home,Lamp,2,8297.4,6238.16,2059.24
2024-01-28,ORD-20240128-6911,Johannesburg,Groceries,Coffee,4,318.71,183.54,135.17
2024-01-29,ORD-20240129-7054,Cape Town,Home,Chair,1,1783.41,1272.92,510.49
2024-01-29,ORD-20240129-2084,Pretoria,Electronics,Laptop,4,67142.78,53613.52,13529.26
2024-01-29,ORD-20240129-7903,Pretoria,Groceries,Eggs,1,205.31,151.94,53.37
2024-01-29,ORD-20240129-3960,Pretoria,Groceries,Bread,1,244.3,176.99,67.31
2024-01-29,ORD-20240129-9433,Durban,Electronics,Phone,3,38190.18,29024.34,9165.84
2024-01-30,ORD-20240130-8306,Johannesburg,Home,Table,1,2704.91,2063.53,641.38
2024-01-30,ORD-20240130-5672,Pretoria,Groceries,Bread,4,260.26,192.13,68.13
2024-01-30,ORD-20240130-6847,Durban,Home,Sofa,2,10234.89,5922.29,4312.6
2024-01-30,ORD-20240130-7203,Cape Town,Home,Sofa,4,3374.92,2017.94,1356.98
2024-01-30,ORD-20240130-8762,Pretoria,Home,Chair,2,5471.51,4305.52,1165.99
2024-01-30,ORD-20240130-2758,Durban,Electronics,Laptop,4,52998.57,28638.66,24359.91
2024-01-31,ORD-20240131-6738,Johannesburg,Home,Lamp,4,28583.68,21413.25,7170.43
2024-01-31,ORD-20240131-3073,Cape Town,Electronics,Laptop,2,31395.69,16242.22,15153.47
2024-01-31,ORD-20240131-5326,Pretoria,Home,Lamp,2,1287.95,915.64,372.31
2024-01-31,ORD-20240131-7628,Durban,Electronics,Laptop,4,62913.45,45428.21,17485.24
2024-01-31,ORD-20240131-9760,Durban,Home,Chair,5,8615.51,6513.38,2102.13
2024-01-31,ORD-20240131-5011,Pretoria,Electronics,Phone,4,59915.3,39654.74,20260.56
2024-01-31,ORD-20240131-7878,Durban,Groceries,Eggs,1,266.66,165.38,101.28
2024-01-31,ORD-20240131-1688,Johannesburg,Home,Lamp,1,4216.01,2243.8,1972.21
2024-01-31,ORD-20240131-3660,Pretoria,Home,Sofa,5,17816.71,11048.21,6768.5
2024-01-31,ORD-20240131-5632,Pretoria,Fashion,Sneakers,3,2539.08,1888.24,650.84
2024-01-31,ORD-20240131-6815,Durban,Fashion,Jeans,5,3111.95,1588.12,1523.83
2024-02-01,ORD-20240201-1071,Durban,Home,Sofa,1,6253.14,4210.82,2042.32
2024-02-01,ORD-20240201-8423,Johannesburg,Groceries,Milk,3,353.95,263.29,90.66
2024-02-01,ORD-20240201-1759,Durban,Fashion,Sneakers,3,2678.7,1914.64,764.06
2024-02-01,ORD-20240201-7346,Pretoria,Fashion,Jeans,1,1526.89,875.05,651.84
2024-02-01,ORD-20240201-9943,Cape Town,Groceries,Coffee,2,260.97,191.62,69.35
2024-02-02,ORD-20240202-1523,Durban,Fashion,Jacket,5,5904.83,4110.45,1794.38
2024-02-02,ORD-20240202-9213,Pretoria,Electronics,Smartwatch,4,65702.06,35556.67,30145.39
2024-02-02,ORD-20240202-4728,Johannesburg,Electronics,Headphones,5,16533.45,10544.69,5988.76
2024-02-02,ORD-20240202-2340,Durban,Fashion,Sneakers,4,6350.34,5019.73,1330.61
2024-02-02,ORD-20240202-2123,Durban,Groceries,Coffee,2,85.92,55.64,30.28
2024-02-02,ORD-20240202-2597,Durban,Electronics,Laptop,5,21348.64,15168.6,6180.04
2024-02-02,ORD-20240202-7244,Pretoria,Electronics,Smartwatch,2,9887.29,6272.06,3615.23
2024-02-02,ORD-20240202-1666,Pretoria,Groceries,Coffee,5,1371.78,1083.03,288.75
2024-02-02,ORD-20240202-7635,Durban,Electronics,Phone,4,65813.92,42058.25,23755.67
2024-02-03,ORD-20240203-8320,Durban,Electronics,Smartwatch,2,23249.44,12128.03,11121.41
2024-02-03,ORD-20240203-7345,Cape Town,Home,Table,5,15487.58,11940.7,3546.88
2024-02-03,ORD-20240203-4403,Pretoria,Electronics,Smartwatch,4,9154.01,4886.29,4267.72
2024-02-03,ORD-20240203-9805,Pretoria,Fashion,T-shirt,3,1044.28,549.65,494.63
2024-02-03,ORD-20240203-8224,Cape Town,Home,Sofa,1,1751.25,1285.35,465.9
2024-02-03,ORD-20240203-6104,Durban,Fashion,Jacket,5,2870.03,1764.56,1105.47
2024-02-03,ORD-20240203-1159,Cape Town,Home,Table,2,5568.64,3738.62,1830.02
2024-02-03,ORD-20240203-5123,Cape Town,Electronics,Laptop,1,5343.82,4260.34,1083.48
2024-02-03,ORD-20240203-4967,Pretoria,Groceries,Eggs,3,256.33,190.6,65.73
2024-02-04,ORD-20240204-5117,Johannesburg,Fashion,Jeans,1,1579.39,1239.72,339.67
2024-02-04,ORD-20240204-4957,Cape Town,Home,Chair,1,5381.99,3506.19,1875.8
2024-02-04,ORD-20240204-9276,Cape Town,Groceries,Milk,2,88.32,56.47,31.85
2024-02-04,ORD-20240204-5874,Durban,Groceries,Eggs,1,20.29,14.32,5.97
2024-02-04,ORD-20240204-1429,Pretoria,Groceries,Bread,2,475.68,273.1,202.58
2024-02-04,ORD-20240204-5651,Durban,Home,Lamp,2,6068.89,4672.28,1396.61
2024-02-04,ORD-20240204-3183,Durban,Fashion,Jacket,4,4742.12,2373.99,2368.13
2024-02-04,ORD-20240204-3090,Johannesburg,Home,Sofa,3,2719.67,1415.43,1304.24
2024-02-04,ORD-20240204-3324,Johannesburg,Groceries,Eggs,3,104.98,61.87,43.11
